"CAPITALS,What is the capital of Massachusetts?,Boston*;Cambridge;Worcester;Springfield"
"CAPITALS,What is the capital of Washington?,Seattle;Spokane;Tacoma;Olympia*"
"CAPITALS,What is the capital of Virginia?,Richmond*;Norfolk;Charlottesville;Alexandria"
"CAPITALS,What is the capital of North Carolina?,Charlotte;Raleigh*;Greensboro;Durham"
"CAPITALS,What is the capital of Indiana?,Indianapolis*;Fort Wayne;Evansville;South Bend"

"AMERICAN_HISTORY,Who wrote the Declaration of Independence?,Thomas Jefferson*;George Washington;Benjamin Franklin;John Adams"
"AMERICAN_HISTORY,What year did the United States declare independence?,1774;1775;1776*;1777"
"AMERICAN_HISTORY,Who was the first president of the United States?,John Adams;Thomas Jefferson;Benjamin Franklin;George Washington*"
"AMERICAN_HISTORY,What was the name of the ship that brought the Pilgrims to America in 1620?,Santa Maria;Pinta;Mayflower*;Nina"
"AMERICAN_HISTORY,What was the primary cause of the American Civil War?,Slavery*;Taxation;Trade;Immigration"
"AMERICAN_HISTORY,Which amendment abolished slavery in the United States?,10th;13th*;15th;19th"
"AMERICAN_HISTORY,Who gave the Gettysburg Address?,Abraham Lincoln*;Ulysses S. Grant;Jefferson Davis;Robert E. Lee"
"AMERICAN_HISTORY,What was the name of the movement to end racial segregation and discrimination?,Women's Rights Movement;Labor Movement;Civil Rights Movement*;Environmental Movement"
"AMERICAN_HISTORY,What year did the stock market crash, leading to the Great Depression?,1927;1928;1929*;1930"
"AMERICAN_HISTORY,Who was the U.S. president during the majority of the Great Depression and World War II?,Herbert Hoover;Harry S. Truman;Dwight D. Eisenhower;Franklin D. Roosevelt*"

"BLACK_HISTORY,Who was the first African American to serve as President of the United States?,Barack Obama*;Jesse Jackson;Colin Powell;Condoleezza Rice"
"BLACK_HISTORY,Who was the African American woman who refused to give up her seat on a bus in Montgomery, Alabama?,Harriet Tubman;Sojourner Truth;Rosa Parks*;Ella Baker"
"BLACK_HISTORY,What year was the Civil Rights Act passed?,1962;1963;1964*;1965"
"BLACK_HISTORY,Who was the leader of the Civil Rights Movement and gave the ""I Have a Dream"" speech?,Malcolm X;Medgar Evers;Martin Luther King Jr.*;James Baldwin"
"BLACK_HISTORY,Who founded the Tuskegee Institute in Alabama?,Frederick Douglass;Booker T. Washington*;W.E.B. Du Bois;Marcus Garvey"
"BLACK_HISTORY,What event is known as the start of the Civil Rights Movement in 1955?,Selma to Montgomery March;March on Washington;Montgomery Bus Boycott*;Freedom Summer"
"BLACK_HISTORY,Who was the first African American woman to win the Nobel Prize for Literature?,Maya Angelou;Alice Walker;Toni Morrison*;Zora Neale Hurston"
"BLACK_HISTORY,Who was the first African American to play Major League Baseball?,Jackie Robinson*;Satchel Paige;Hank Aaron;Willie Mays"
"BLACK_HISTORY,Who was the African American scientist and inventor known for his work with peanuts?,Frederick Douglass;George Washington Carver*;W.E.B. Du Bois;Marcus Garvey"
"BLACK_HISTORY,Who was the first African American Supreme Court Justice?,Thurgood Marshall*;Clarence Thomas;William Hastie;Charles Hamilton Houston"
"BLACK_HISTORY,Who was the founder of the Universal Negro Improvement Association (UNIA)?,Booker T. Washington;Marcus Garvey*;W.E.B. Du Bois;Malcolm X"
"BLACK_HISTORY,What is the significance of Juneteenth?,End of the Civil War;Emancipation Proclamation signed;End of slavery in Texas*;Founding of NAACP"
"BLACK_HISTORY,Who was known as the ""Moses of her people"" for leading slaves to freedom via the Underground Railroad?,Sojourner Truth;Harriet Tubman*;Rosa Parks;Ida B. Wells"
"BLACK_HISTORY,Who was the first African American to win an Academy Award for Best Actor?,Sidney Poitier*;Denzel Washington;Morgan Freeman;Jamie Foxx"
